romanian,english
baie,bathroom
cameră,room
dormitor,bedroom
pat,bed
portofel,wallet
perie,brush
bucătărie,kitchen
lingură,spoon
cuțit,knife
pătuț,crib
scări,stairs
birou,"office, desk"
oglindă,mirror
burete,sponge
săpun,soap
cuptor,oven
lampă,lamp
mașină de spălat,washing machine
uscător,dryer
a curăța,to clean
masă,table
umbrelă,umbrella
perete,wall
piscină,pool
podea,floor
ușă,door
poartă,gate
aparat de ras electric,electric shaver
frigider,fridge
cearșaf,bed sheet
tigaie,frying pan
scaun,chair
canapea,sofa
subsol,basement
tavan,ceiling
acoperiș,roof
telefon,telephone
televizor,television
fereastră,window
