romanian,english
cafea,coffee
lapte,milk
cremă,cream
ciocolată,chocolate
biscuit,cookie
pahar,drinking glass
înghețată,ice cream
mâncare,food
fruct,fruit
banană,banana
dulciuri,candy (not b...)
morcov,carrot
farfurie,plate
fasole,bean
carne,meat
bere,beer
sticlă,"bottle, glass (material)"
castron,bowl
micul dejun,breakfast
unt,butter
tort,cake
brânză,cheese
pui,chicken
bucătar,"cook, chef"
cină,dinner
băutura,beverage
ou,egg
pește,fish
furculiță,fork
prăjit,fried
usturoi,garlic
strugure,grape
noi mâncăm,we eat
voi mâncați,you eat (plural/formal)
ei mănâncă,they eat
a fierbe,to boil
fierbe,he/she/it boils
a găti,to cook
eu gătesc,I cook
gătește,he/she/it cooks
a tăia,to cut
eu tai,I cut
taie,he/she/it cuts
