romanian,english
timp,time
seară,evening
noapte,night
mâine,tomorrow
moment,moment
a doua,second
minut,minute
zi,day
săptămână,week
lună,month
an,year
secol,century
vârstă,age
sfârșit,"end, conclusion (not c_)"
sfârșit de săptămână,weekend
zi de lucru,workday
ceas,clock/watch
calendar,calendar
dată,date
istorie,history
viitor,future
sfert,quarter
capăt,"end, tip, bottom (not s_)"
rutină,routine
durată,duration
fază,phase
ultim,last
programare,appointment
sezon,season
vacanță,holiday
Crăciun,Christmas
oră,hour
ianuarie,January
februarie,February
martie,March
aprilie,April
mai,May
iunie,June
iulie,July
august,August
septembrie,September
octombrie,October
noiembrie,November
decembrie,December
luni,Monday
marți,Tuesday
miercuri,Wednesday
joi,Thursday
vineri,Friday
sâmbătă,Saturday
duminică,Sunday
primăvara,Spring
vara,Summer
toamna,Autumn
iarna,Winter
