romanian,english
căpșună,strawberry
dulce,sweet
gem,jam
limonadă,lemonade
lămâie,lemon
portocală,orange (fruit)
friptură,steak
gust,taste
ceai,tea
foame,hunger
mi-e foame,I'm hungry
grătar,grill
gheață,ice
ingredient,ingredient
suc,juice
bucătărie,kitchen
cuțit,knife
prânz,lunch
eu mănânc prânzul,I eat lunch
acru,sour
masă,meal
carne,meat
meniu,menu
ulei,oil
ceapă,onion
paste,pasta
piper,pepper (seasoning)
porc,pork
cartof,potato
rețetă,recipe
restaurant,restaurant
orez,rice
salată,salad
sare,salt
sandviș,sandwich
cârnat,sausage
supă,soup
el/ea are prânzul,he/she has lunch
a cina,to have dinner
noi avem cina,we have dinner
el/ea are cina,he/she has dinner
cină,dinner
lingură,spoon
roșie,tomato
legume,vegetables
chelner,waiter
vegetarian,vegetarian
vin,wine
ciupercă,mushroom
ciuperci,mushrooms
