romanian,english
mai mult,more
bine,well
din nou,again
acolo,there
de asemenea,also
puțin,little (not much)
foarte bine,very good
după,after
mereu,always
mai puțin,less
apoi,then
astfel,thus
prea mult,too much
deja,already
aici,here
doar,only
foarte mult,very much
în sfârșit,at last
acum,now
adesea,often
aproape,nearby
atâta,so much
mai bine,better
departe,far
în special,especially
uneori,sometimes
încă,still
deasupra,on top (over)
în jurul,around
târziu,late
un timp îndelungat,a long time
la fel de mult,as much
rapid,fast
mai degrabă,rather
există,there is...
cu adevărat,truly
pretutindeni,everywhere
afară,outside
curând,soon
simplu,simply
dincolo,beyond
evident,obviously
devreme,early
aproximativ,approximately
exact,exactly
